seq,channel,size,sid,dbs,fn_q,dbc,fmt,fdf,syt_be,syt
741,0,72,2,2,0,144,144,2,0x0170,28673
743,0,72,2,2,0,152,144,2,0x156F,28437
745,0,8,2,2,0,160,144,2,0xFFFF,65535
747,0,72,2,2,0,160,144,2,0x296F,28457
749,0,72,2,2,0,168,144,2,0x416F,28481
751,0,72,2,2,0,176,144,2,0x5570,28757
753,0,8,2,2,0,184,144,2,0xFFFF,65535
755,0,72,2,2,0,184,144,2,0x696F,28521
757,0,72,2,2,0,192,144,2,0x8170,28801
759,0,72,2,2,0,200,144,2,0x9570,28821
761,0,8,2,2,0,208,144,2,0xFFFF,65535
763,0,72,2,2,0,208,144,2,0xA970,28841
765,0,72,2,2,0,216,144,2,0xC170,28865
767,0,72,2,2,0,224,144,2,0xD570,28885
769,0,8,2,2,0,232,144,2,0xFFFF,65535
771,0,72,2,2,0,232,144,2,0xE970,28905
773,0,72,2,2,0,240,144,2,0x0170,28673
775,0,72,2,2,0,248,144,2,0x156F,28437
777,0,8,2,2,0,0,144,2,0xFFFF,65535
779,0,72,2,2,0,0,144,2,0x2970,28713
781,0,72,2,2,0,8,144,2,0x4170,28737
783,0,72,2,2,0,16,144,2,0x5570,28757
785,0,8,2,2,0,24,144,2,0xFFFF,65535
787,0,72,2,2,0,24,144,2,0x696F,28521
789,0,72,2,2,0,32,144,2,0x816F,28545
791,0,72,2,2,0,40,144,2,0x9570,28821
793,0,8,2,2,0,48,144,2,0xFFFF,65535
795,0,72,2,2,0,48,144,2,0xA970,28841
797,0,72,2,2,0,56,144,2,0xC170,28865
799,0,72,2,2,0,64,144,2,0xD56F,28629
801,0,8,2,2,0,72,144,2,0xFFFF,65535
803,0,72,2,2,0,72,144,2,0xE970,28905
805,0,72,2,2,0,80,144,2,0x016F,28417
807,0,72,2,2,0,88,144,2,0x1570,28693
809,0,8,2,2,0,96,144,2,0xFFFF,65535
811,0,72,2,2,0,96,144,2,0x296F,28457
813,0,72,2,2,0,104,144,2,0x416F,28481
815,0,72,2,2,0,112,144,2,0x556F,28501
817,0,8,2,2,0,120,144,2,0xFFFF,65535
819,0,72,2,2,0,120,144,2,0x696F,28521
821,0,72,2,2,0,128,144,2,0x8170,28801
823,0,72,2,2,0,136,144,2,0x956F,28565
825,0,8,2,2,0,144,144,2,0xFFFF,65535
827,0,72,2,2,0,144,144,2,0xA970,28841
829,0,72,2,2,0,152,144,2,0xC170,28865
831,0,72,2,2,0,160,144,2,0xD56F,28629
833,0,8,2,2,0,168,144,2,0xFFFF,65535
835,0,72,2,2,0,168,144,2,0xE970,28905
837,0,72,2,2,0,176,144,2,0x0170,28673
839,0,72,2,2,0,184,144,2,0x1570,28693
841,0,8,2,2,0,192,144,2,0xFFFF,65535
843,0,72,2,2,0,192,144,2,0x296F,28457
845,0,72,2,2,0,200,144,2,0x4170,28737
847,0,72,2,2,0,208,144,2,0x556F,28501
849,0,8,2,2,0,216,144,2,0xFFFF,65535
851,0,72,2,2,0,216,144,2,0x6970,28777
853,0,72,2,2,0,224,144,2,0x8170,28801
855,0,72,2,2,0,232,144,2,0x956F,28565
857,0,8,2,2,0,240,144,2,0xFFFF,65535
859,0,72,2,2,0,240,144,2,0xA96F,28585
861,0,72,2,2,0,248,144,2,0xC170,28865
863,0,72,2,2,0,0,144,2,0xD56F,28629
865,0,8,2,2,0,8,144,2,0xFFFF,65535
867,0,72,2,2,0,8,144,2,0xE96F,28649
869,0,72,2,2,0,16,144,2,0x0170,28673
871,0,72,2,2,0,24,144,2,0x1570,28693
873,0,8,2,2,0,32,144,2,0xFFFF,65535
875,0,72,2,2,0,32,144,2,0x296F,28457
877,0,72,2,2,0,40,144,2,0x4170,28737
879,0,72,2,2,0,48,144,2,0x556F,28501
881,0,8,2,2,0,56,144,2,0xFFFF,65535
883,0,72,2,2,0,56,144,2,0x6970,28777
885,0,72,2,2,0,64,144,2,0x8170,28801
887,0,72,2,2,0,72,144,2,0x956F,28565
889,0,8,2,2,0,80,144,2,0xFFFF,65535
891,0,72,2,2,0,80,144,2,0xA96F,28585
893,0,72,2,2,0,88,144,2,0xC170,28865
895,0,72,2,2,0,96,144,2,0xD56F,28629
897,0,8,2,2,0,104,144,2,0xFFFF,65535
899,0,72,2,2,0,104,144,2,0xE96F,28649
901,0,72,2,2,0,112,144,2,0x0170,28673
903,0,72,2,2,0,120,144,2,0x1570,28693
905,0,8,2,2,0,128,144,2,0xFFFF,65535
907,0,72,2,2,0,128,144,2,0x296F,28457
909,0,72,2,2,0,136,144,2,0x4170,28737
911,0,72,2,2,0,144,144,2,0x5570,28757
913,0,8,2,2,0,152,144,2,0xFFFF,65535
915,0,72,2,2,0,152,144,2,0x696F,28521
917,0,72,2,2,0,160,144,2,0x8170,28801
919,0,72,2,2,0,168,144,2,0x9570,28821
921,0,8,2,2,0,176,144,2,0xFFFF,65535
923,0,72,2,2,0,176,144,2,0xA96F,28585
925,0,72,2,2,0,184,144,2,0xC170,28865
927,0,72,2,2,0,192,144,2,0xD56F,28629
929,0,8,2,2,0,200,144,2,0xFFFF,65535
931,0,72,2,2,0,200,144,2,0xE96F,28649
933,0,72,2,2,0,208,144,2,0x0170,28673
935,0,72,2,2,0,216,144,2,0x1570,28693
937,0,8,2,2,0,224,144,2,0xFFFF,65535
939,0,72,2,2,0,224,144,2,0x296F,28457
941,0,72,2,2,0,232,144,2,0x4170,28737
943,0,72,2,2,0,240,144,2,0x5570,28757
945,0,8,2,2,0,248,144,2,0xFFFF,65535
947,0,72,2,2,0,248,144,2,0x696F,28521
949,0,72,2,2,0,0,144,2,0x816F,28545
951,0,72,2,2,0,8,144,2,0x956F,28565
953,0,8,2,2,0,16,144,2,0xFFFF,65535
955,0,72,2,2,0,16,144,2,0xA970,28841
957,0,72,2,2,0,24,144,2,0xC16F,28609
959,0,72,2,2,0,32,144,2,0xD56F,28629
961,0,8,2,2,0,40,144,2,0xFFFF,65535
963,0,72,2,2,0,40,144,2,0xE96F,28649
965,0,72,2,2,0,48,144,2,0x016F,28417
967,0,72,2,2,0,56,144,2,0x1570,28693
