seq,channel,size,sid,dbs,fn_q,dbc,fmt,fdf,syt_be,syt
563,1,8,0,2,0,72,144,255,0xFFFF,65535
565,1,72,0,2,0,72,144,1,0x0C4B,19212
567,1,72,0,2,0,80,144,1,0x01B5,46337
569,1,8,0,2,0,88,144,255,0xFFFF,65535
571,1,72,0,2,0,88,144,1,0x0B20,8203
573,1,72,0,2,0,96,144,1,0x008A,35328
575,1,8,0,2,0,104,144,255,0xFFFF,65535
577,1,72,0,2,0,104,144,1,0x09F4,62473
579,1,72,0,2,0,112,144,1,0x0F5E,24079
581,1,72,0,2,0,120,144,1,0x04C8,51204
583,1,8,0,2,0,128,144,255,0xFFFF,65535
585,1,72,0,2,0,128,144,1,0x0E32,12814
587,1,72,0,2,0,136,144,1,0x039C,39939
589,1,8,0,2,0,144,144,255,0xFFFF,65535
591,1,72,0,2,0,144,144,1,0x0D06,1549
593,1,72,0,2,0,152,144,1,0x0270,28674
595,1,8,0,2,0,160,144,255,0xFFFF,65535
597,1,72,0,2,0,160,144,1,0x0BDB,56075
599,1,72,0,2,0,168,144,1,0x0145,17665
601,1,8,0,2,0,176,144,255,0xFFFF,65535
603,1,72,0,2,0,176,144,1,0x0AAF,44810
605,1,72,0,2,0,184,144,1,0x0019,6400
607,1,72,0,2,0,192,144,1,0x0583,33541
609,1,8,0,2,0,200,144,255,0xFFFF,65535
611,1,72,0,2,0,200,144,1,0x0EED,60686
613,1,72,0,2,0,208,144,1,0x0457,22276
615,1,8,0,2,0,216,144,255,0xFFFF,65535
617,1,72,0,2,0,216,144,1,0x0DC1,49421
619,1,72,0,2,0,224,144,1,0x032C,11267
621,1,8,0,2,0,232,144,255,0xFFFF,65535
623,1,72,0,2,0,232,144,1,0x0C96,38412
625,1,72,0,2,0,240,144,1,0x0200,2
627,1,8,0,2,0,248,144,255,0xFFFF,65535
629,1,72,0,2,0,248,144,1,0x0B6A,27147
631,1,72,0,2,0,0,144,1,0x00D4,54272
633,1,8,0,2,0,8,144,255,0xFFFF,65535
635,1,72,0,2,0,8,144,1,0x0A3E,15882
637,1,72,0,2,0,16,144,1,0x0FA9,43279
639,1,72,0,2,0,24,144,1,0x0513,4869
641,1,8,0,2,0,32,144,255,0xFFFF,65535
643,1,72,0,2,0,32,144,1,0x0E7D,32014
645,1,72,0,2,0,40,144,1,0x03E8,59395
647,1,8,0,2,0,48,144,255,0xFFFF,65535
649,1,72,0,2,0,48,144,1,0x0D52,21005
651,1,72,0,2,0,56,144,1,0x02BC,48130
653,1,8,0,2,0,64,144,255,0xFFFF,65535
655,1,72,0,2,0,64,144,1,0x0C26,9740
657,1,72,0,2,0,72,144,1,0x0190,36865
659,1,8,0,2,0,80,144,255,0xFFFF,65535
661,1,72,0,2,0,80,144,1,0x0AFA,64010
663,1,72,0,2,0,88,144,1,0x0065,25856
665,1,8,0,2,0,96,144,255,0xFFFF,65535
667,1,72,0,2,0,96,144,1,0x09CF,53001
669,1,72,0,2,0,104,144,1,0x0F39,14607
671,1,72,0,2,0,112,144,1,0x04A4,41988
673,1,8,0,2,0,120,144,255,0xFFFF,65535
675,1,72,0,2,0,120,144,1,0x0E0E,3598
677,1,72,0,2,0,128,144,1,0x0378,30723
679,1,8,0,2,0,136,144,255,0xFFFF,65535
681,1,72,0,2,0,136,144,1,0x0CE2,57868
683,1,72,0,2,0,144,144,1,0x024C,19458
685,1,8,0,2,0,152,144,255,0xFFFF,65535
687,1,72,0,2,0,152,144,1,0x0BB6,46603
689,1,72,0,2,0,160,144,1,0x0121,8449
691,1,8,0,2,0,168,144,255,0xFFFF,65535
693,1,72,0,2,0,168,144,1,0x0A8B,35594
695,1,72,0,2,0,176,144,1,0x0FF5,62735
697,1,72,0,2,0,184,144,1,0x0560,24581
699,1,8,0,2,0,192,144,255,0xFFFF,65535
701,1,72,0,2,0,192,144,1,0x0ECA,51726
703,1,72,0,2,0,200,144,1,0x0434,13316
705,1,8,0,2,0,208,144,255,0xFFFF,65535
707,1,72,0,2,0,208,144,1,0x0D9E,40461
709,1,72,0,2,0,216,144,1,0x0308,2051
711,1,8,0,2,0,224,144,255,0xFFFF,65535
713,1,72,0,2,0,224,144,1,0x0C72,29196
715,1,72,0,2,0,232,144,1,0x01DD,56577
717,1,8,0,2,0,240,144,255,0xFFFF,65535
719,1,72,0,2,0,240,144,1,0x0B47,18187
721,1,72,0,2,0,248,144,1,0x00B1,45312
723,1,8,0,2,0,0,144,255,0xFFFF,65535
725,1,72,0,2,0,0,144,1,0x0A1C,7178
727,1,72,0,2,0,8,144,1,0x0F86,34319
729,1,72,0,2,0,16,144,1,0x04F0,61444
731,1,8,0,2,0,24,144,255,0xFFFF,65535
733,1,72,0,2,0,24,144,1,0x0E5A,23054
735,1,72,0,2,0,32,144,1,0x03C4,50179
737,1,8,0,2,0,40,144,255,0xFFFF,65535
739,1,72,0,2,0,40,144,1,0x0D2E,11789
741,1,72,0,2,0,48,144,1,0x0299,39170
743,1,8,0,2,0,56,144,255,0xFFFF,65535
745,1,72,0,2,0,56,144,1,0x0C03,780
747,1,72,0,2,0,64,144,1,0x016D,27905
749,1,8,0,2,0,72,144,255,0xFFFF,65535
